"symbol","date","open","high","low","close","volume","adjusted"
"META",2015-01-02,78.5800018310547,78.9300003051758,77.6999969482422,78.4499969482422,18177500,78.1514587402344
"META",2015-01-05,77.9800033569336,79.25,76.8600006103516,77.1900024414062,26452200,76.8962631225586
"META",2015-01-06,77.2300033569336,77.5899963378906,75.3600006103516,76.1500015258789,27399300,75.8602142333984
"META",2015-01-07,76.7600021362305,77.3600006103516,75.8199996948242,76.1500015258789,22045300,75.8602142333984
"META",2015-01-08,76.7399978637695,78.2300033569336,76.0800018310547,78.1800003051758,23961000,77.8824920654297
"META",2015-01-09,78.1999969482422,78.620002746582,77.1999969482422,77.7399978637695,21157000,77.4441604614258
"META",2015-01-12,77.8399963378906,78,76.2099990844727,76.7200012207031,19190200,76.4280471801758
"META",2015-01-13,77.2300033569336,78.0800018310547,75.8499984741211,76.4499969482422,25179600,76.1590728759766
"META",2015-01-14,76.4199981689453,77.1999969482422,76.0299987792969,76.2799987792969,25918600,75.9897232055664
"META",2015-01-15,76.4000015258789,76.5699996948242,73.5400009155273,74.0500030517578,34134000,73.7682113647461
"META",2015-01-16,74.0400009155273,75.3199996948242,73.8399963378906,75.1800003051758,21791500,74.8939056396484
"META",2015-01-20,75.7200012207031,76.3099975585938,74.8199996948242,76.2399978637695,22821600,75.9498748779297
"META",2015-01-21,76.1600036621094,77.3000030517578,75.8499984741211,76.7399978637695,25096700,76.4479751586914
"META",2015-01-22,77.1699981689453,77.75,76.6800003051758,77.6500015258789,19519500,77.3545150756836
"META",2015-01-23,77.6500015258789,78.1900024414062,77.0400009155273,77.8300018310547,16746500,77.533821105957
"META",2015-01-26,77.9800033569336,78.4700012207031,77.2900009155273,77.5,19260800,77.205078125
"META",2015-01-27,76.7099990844727,76.879997253418,75.629997253418,75.7799987792969,20110000,75.4916229248047
"META",2015-01-28,76.9000015258789,77.6399993896484,76,76.2399978637695,53306400,75.9498748779297
"META",2015-01-29,76.8499984741211,78.0199966430664,74.2099990844727,78,61293500,77.7031784057617
"META",2015-01-30,78,78.1600036621094,75.75,75.9100036621094,42649500,75.6211395263672
"META",2015-02-02,76.1100006103516,76.1399993896484,73.75,74.9899978637695,41955300,74.7046356201172
"META",2015-02-03,75.1900024414062,75.5800018310547,73.8600006103516,75.4000015258789,26957700,75.1130828857422
"META",2015-02-04,75.0899963378906,76.3499984741211,75.0100021362305,75.629997253418,20277400,75.3421936035156
"META",2015-02-05,75.7099990844727,75.9800033569336,75.2099990844727,75.6100006103516,15062600,75.3222808837891
"META",2015-02-06,75.6800003051758,75.6999969482422,74.25,74.4700012207031,21211000,74.1866149902344
"META",2015-02-09,74.0500030517578,74.8300018310547,73.4499969482422,74.4400024414062,16194300,74.1567230224609
"META",2015-02-10,74.8499984741211,75.3399963378906,74.5,75.1900024414062,15811300,74.9038772583008
"META",2015-02-11,75.0899963378906,76.75,75.0299987792969,76.5100021362305,20877400,76.2188568115234
"META",2015-02-12,76.8600006103516,76.870002746582,75.8899993896484,76.2300033569336,17235000,75.9399185180664
"META",2015-02-13,76.4599990844727,76.4800033569336,75.5,75.7399978637695,18621900,75.4517822265625
"META",2015-02-17,75.3000030517578,76.9100036621094,75.0800018310547,75.5999984741211,25254400,75.3123168945312
"META",2015-02-18,75.9400024414062,76.9000015258789,75.4499969482422,76.7099990844727,22426400,76.4180908203125
"META",2015-02-19,76.9899978637695,79.8399963378906,76.9499969482422,79.4199981689453,45851200,79.1177749633789
"META",2015-02-20,79.5500030517578,80.3399963378906,79.1999969482422,79.9000015258789,36931700,79.595947265625
"META",2015-02-23,79.9599990844727,80.1900024414062,78.379997253418,78.8399963378906,24139100,78.5399703979492
"META",2015-02-24,78.5,79.4800033569336,78.0999984741211,78.4499969482422,18897100,78.1514587402344
