,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
0,frozenset({'frankfurter'}),frozenset({'beer'}),0.037759807525228894,0.12210118291786407,0.005146026866270133,0.13628318584070798,1.1161495948191098,0.0005355097006888195,1.0164197369905876,0.1081463334554042
1,frozenset({'beer'}),frozenset({'frankfurter'}),0.12210118291786407,0.037759807525228894,0.005146026866270133,0.042145593869731796,1.1161495948191096,0.0005355097006888195,1.0045787609436612,0.11853615324991701
2,frozenset({'yogurt'}),frozenset({'cereal'}),0.08587850030074183,0.06034886052262247,0.005747510525964045,0.0669260700389105,1.1089864739670185,0.0005648408894225838,1.007048969331468,0.1075084076619388
3,frozenset({'cereal'}),frozenset({'yogurt'}),0.06034886052262247,0.08587850030074183,0.005747510525964045,0.09523809523809523,1.1089864739670185,0.0005648408894225838,1.0103448154570749,0.10458748221906108
4,frozenset({'soda'}),frozenset({'cereal'}),0.09710619528169484,0.06034886052262247,0.005948005079195348,0.06125258086717137,1.0149749363405152,8.775684425780649e-05,1.000962687434479,0.016340787930704752
5,frozenset({'cereal'}),frozenset({'soda'}),0.06034886052262247,0.09710619528169484,0.005948005079195348,0.09856035437430785,1.0149749363405152,8.775684425780649e-05,1.0016131519172353,0.015701567919190695
6,frozenset({'whole milk'}),frozenset({'bottled beer'}),0.15792287642852368,0.04531176903027468,0.007150972398583172,0.04528142192128651,0.9993302598941151,-4.792502742702494e-06,0.999968213555612,-0.0007952430679335585
7,frozenset({'bottled beer'}),frozenset({'whole milk'}),0.04531176903027468,0.15792287642852368,0.007150972398583172,0.15781710914454278,0.9993302598941151,-4.792502742702494e-06,0.9998744129272522,-0.0007015052616162969
8,frozenset({'cereal'}),frozenset({'whole milk'}),0.06034886052262247,0.15792287642852368,0.008955423377664907,0.14839424141749724,0.9396627314134623,-0.0005750422652514124,0.9888109786541524,-0.06396454269627133
9,frozenset({'whole milk'}),frozenset({'cereal'}),0.15792287642852368,0.06034886052262247,0.008955423377664907,0.056707575116377494,0.9396627314134622,-0.0005750422652514124,0.9961398127344294,-0.07085117494622058
10,frozenset({'newspapers'}),frozenset({'whole milk'}),0.038895943326872955,0.15792287642852368,0.005613847490476508,0.14432989690721648,0.9139264694975372,-0.0005287117611041097,0.9841142287522072,-0.08924605203041672
11,frozenset({'whole milk'}),frozenset({'newspapers'}),0.15792287642852368,0.038895943326872955,0.005613847490476508,0.03554803216250529,0.9139264694975371,-0.0005287117611041097,0.9965286906180777,-0.10059195733420356
12,frozenset({'whole milk'}),frozenset({'domestic eggs'}),0.15792287642852368,0.037091492347791216,0.005279689901757669,0.033432077867118076,0.9013408668931312,-0.0005779052608320947,0.9962140120762564,-0.11503323292922739
13,frozenset({'domestic eggs'}),frozenset({'whole milk'}),0.037091492347791216,0.15792287642852368,0.005279689901757669,0.14234234234234236,0.9013408668931312,-0.0005779052608320947,0.9818336209709441,-0.10207159874410296
14,frozenset({'tropical fruit'}),frozenset({'yogurt'}),0.0677671589921807,0.08587850030074183,0.005212858384013901,0.07692307692307694,0.8957198443579768,-0.0006068835998765086,0.9902982913408631,-0.11101905550952755
