,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
0,frozenset({'frankfurter'}),frozenset({'beer'}),0.037759807525228894,0.12210118291786407,0.005146026866270133,0.13628318584070798,1.1161495948191098,1.0,0.0005355097006888195,1.0164197369905876,0.1081463334554042,0.03326133909287257,0.016154484602201084,0.08921438985521989
1,frozenset({'beer'}),frozenset({'frankfurter'}),0.12210118291786407,0.037759807525228894,0.005146026866270133,0.042145593869731796,1.1161495948191096,1.0,0.0005355097006888195,1.0045787609436612,0.11853615324991701,0.03326133909287257,0.004557891448312051,0.08921438985521989
2,frozenset({'yogurt'}),frozenset({'cereal'}),0.08587850030074183,0.06034886052262247,0.005747510525964045,0.0669260700389105,1.1089864739670185,1.0,0.0005648408894225838,1.007048969331468,0.1075084076619388,0.04091341579448145,0.006999629160186191,0.08108208263850286
3,frozenset({'cereal'}),frozenset({'yogurt'}),0.06034886052262247,0.08587850030074183,0.005747510525964045,0.09523809523809523,1.1089864739670185,1.0,0.0005648408894225838,1.0103448154570749,0.10458748221906108,0.04091341579448145,0.010238895967803696,0.08108208263850286
4,frozenset({'cereal'}),frozenset({'soda'}),0.06034886052262247,0.09710619528169484,0.005948005079195348,0.09856035437430785,1.0149749363405152,1.0,8.775684425780649e-05,1.0016131519172353,0.015701567919190695,0.03925893250992501,0.0016105538492056613,0.07990646762073961
5,frozenset({'soda'}),frozenset({'cereal'}),0.09710619528169484,0.06034886052262247,0.005948005079195348,0.06125258086717137,1.0149749363405152,1.0,8.775684425780649e-05,1.000962687434479,0.016340787930704752,0.03925893250992501,0.0009617615587116068,0.07990646762073961
6,frozenset({'bottled beer'}),frozenset({'whole milk'}),0.04531176903027468,0.15792287642852368,0.007150972398583172,0.15781710914454278,0.9993302598941151,1.0,-4.792502742702494e-06,0.9998744129272522,-0.0007015052616162969,0.036468984321745064,-0.00012560284684176356,0.10154926553291464
7,frozenset({'whole milk'}),frozenset({'bottled beer'}),0.15792287642852368,0.04531176903027468,0.007150972398583172,0.04528142192128651,0.9993302598941151,1.0,-4.792502742702494e-06,0.999968213555612,-0.0007952430679335585,0.036468984321745064,-3.1787454798041837e-05,0.10154926553291464
8,frozenset({'cereal'}),frozenset({'whole milk'}),0.06034886052262247,0.15792287642852368,0.008955423377664907,0.14839424141749724,0.9396627314134623,1.0,-0.0005750422652514124,0.9888109786541524,-0.06396454269627133,0.04278416347381865,-0.01131563219603084,0.10255090826693737
9,frozenset({'whole milk'}),frozenset({'cereal'}),0.15792287642852368,0.06034886052262247,0.008955423377664907,0.056707575116377494,0.9396627314134622,1.0,-0.0005750422652514124,0.9961398127344294,-0.07085117494622058,0.04278416347381865,-0.0038751460550244367,0.10255090826693737
10,frozenset({'newspapers'}),frozenset({'whole milk'}),0.038895943326872955,0.15792287642852368,0.005613847490476508,0.14432989690721648,0.9139264694975372,1.0,-0.0005287117611041097,0.9841142287522072,-0.08924605203041672,0.029360363509262494,-0.016142202585501555,0.08993896453486089
11,frozenset({'whole milk'}),frozenset({'newspapers'}),0.15792287642852368,0.038895943326872955,0.005613847490476508,0.03554803216250529,0.9139264694975371,1.0,-0.0005287117611041097,0.9965286906180777,-0.10059195733420356,0.029360363509262494,-0.003483401345694556,0.08993896453486089
12,frozenset({'domestic eggs'}),frozenset({'whole milk'}),0.037091492347791216,0.15792287642852368,0.005279689901757669,0.14234234234234236,0.9013408668931312,1.0,-0.0005779052608320947,0.9818336209709441,-0.10207159874410296,0.02782669954209229,-0.018502502502502467,0.08788721010473022
13,frozenset({'whole milk'}),frozenset({'domestic eggs'}),0.15792287642852368,0.037091492347791216,0.005279689901757669,0.033432077867118076,0.9013408668931312,1.0,-0.0005779052608320947,0.9962140120762564,-0.11503323292922739,0.02782669954209229,-0.0038003761017706963,0.08788721010473022
14,frozenset({'yogurt'}),frozenset({'tropical fruit'}),0.08587850030074183,0.0677671589921807,0.005212858384013901,0.06070038910505837,0.8957198443579768,1.0,-0.0006068835998765086,0.9924765540141242,-0.11297016861219177,0.035119315623592974,-0.007580477297369811,0.06881173301406765
15,frozenset({'tropical fruit'}),frozenset({'yogurt'}),0.0677671589921807,0.08587850030074183,0.005212858384013901,0.07692307692307694,0.8957198443579768,1.0,-0.0006068835998765086,0.9902982913408631,-0.11101905550952755,0.035119315623592974,-0.009796753911390536,0.06881173301406765
16,frozenset({'whole milk'}),frozenset({'frankfurter'}),0.15792287642852368,0.037759807525228894,0.005279689901757669,0.033432077867118076,0.8853879311959076,1.0,-0.0006834475160138924,0.9955225809185132,-0.13324242566730915,0.027729027729027734,-0.004497556526900415,0.0866275433583378
17,frozenset({'frankfurter'}),frozenset({'whole milk'}),0.037759807525228894,0.15792287642852368,0.005279689901757669,0.13982300884955753,0.8853879311959075,1.0,-0.0006834475160138924,0.9789579728763048,-0.11857632162174715,0.027729027729027734,-0.021494310998735746,0.0866275433583378
18,frozenset({'whole milk'}),frozenset({'pork'}),0.15792287642852368,0.037091492347791216,0.005012363830782597,0.031739314430808296,0.8557033546453776,1.0,-0.0008452313318071669,0.994472379188011,-0.16684299619128215,0.026380583890256774,-0.005558345236800071,0.08343722478297172
19,frozenset({'pork'}),frozenset({'whole milk'}),0.037091492347791216,0.15792287642852368,0.005012363830782597,0.13513513513513514,0.8557033546453776,1.0,-0.0008452313318071669,0.9736516741295195,-0.14902664902664892,0.026380583890256774,-0.027061347061347035,0.08343722478297172
20,frozenset({'whole milk'}),frozenset({'pip fruit'}),0.15792287642852368,0.049054334023925686,0.006616320256633028,0.041895895048666955,0.8540712229062719,1.0,-0.0011304812737109125,0.9925285374123073,-0.16867987777448254,0.03302201467645097,-0.007527705558141569,0.08838663962242611
21,frozenset({'pip fruit'}),frozenset({'whole milk'}),0.049054334023925686,0.15792287642852368,0.006616320256633028,0.13487738419618528,0.8540712229062719,1.0,-0.0011304812737109125,0.9733615885062419,-0.15230993828289727,0.03302201467645097,-0.02736743652956186,0.08838663962242611
22,frozenset({'citrus fruit'}),frozenset({'whole milk'}),0.05313105660629553,0.15792287642852368,0.007150972398583172,0.13459119496855346,0.8522590140983773,1.0,-0.0012396368883697342,0.9730396994757612,-0.15474820464784333,0.035070468698787285,-0.027707297594090033,0.08993630844491998
23,frozenset({'whole milk'}),frozenset({'citrus fruit'}),0.15792287642852368,0.05313105660629553,0.007150972398583172,0.04528142192128651,0.8522590140983773,1.0,-0.0012396368883697342,0.9917780643791327,-0.17071814504620653,0.035070468698787285,-0.008290096258596133,0.08993630844491998
24,frozenset({'whole milk'}),frozenset({'shopping bags'}),0.15792287642852368,0.04758404063356279,0.006348994185657956,0.040203131612357175,0.8448868796568826,1.0,-0.0011656143832860294,0.9923099259183824,-0.17899601569578535,0.031879194630872486,-0.007749669615065579,0.086815048952246
25,frozenset({'shopping bags'}),frozenset({'whole milk'}),0.04758404063356279,0.15792287642852368,0.006348994185657956,0.13342696629213482,0.8448868796568826,1.0,-0.0011656143832860294,0.9717324343320763,-0.16161036303826556,0.031879194630872486,-0.02908986534688781,0.086815048952246
26,frozenset({'yogurt'}),frozenset({'rolls/buns'}),0.08587850030074183,0.11000467820624206,0.007819287576020852,0.09105058365758756,0.8276973774413625,1.0,-0.0016277492143969147,0.9791472504323451,-0.18548732291139133,0.04157782515991471,-0.021296847392920124,0.08106599656755442
